year,adjectives
1985,[]
1985,[real]]
1985,[]
1985,[wealthy]]
1985,[]
1985,[compelling]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[proud]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[Unfortunate]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[local]]
1985,[]
1985,[]
1985,[]
1985,[old]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[sister]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[unstable]]
1985,[military]]
1985,[established]]
1985,[poor]]
1985,[faithful]]
1985,[steed]
1985,[frustrated]]
1985,[]
1985,[]
1985,[real]]
1985,[real]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[criminal]]
1985,[famous]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[haughty]]
1985,[entire]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[dynamic]]
1985,[wizard]]
1985,[]
1985,[]
1985,[]
1985,[young]]
1985,[]
1985,[famous]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[distraught]]
1985,[]
1985,"[powerful], honest]]"
1985,[young]
1985,[]
1985,[]
1985,[]
1985,[enraged]]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[]
1985,[second]]
1985,[]
1986,[tyrant]]
1986,[]
1986,[]
1986,[Nagesh]]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[rich]]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[poor]]
1986,[honest]]
1986,[brave]]
1986,[innocent]]
1986,[young]
1986,[naive]]
1986,"[young, poor, adopted, little]]"
1986,"[young, ecstatic]]"
1986,"[wounded, evil]]"
1986,[fugitive]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[influential]]
1986,[]
1986,[]
1986,[]
1986,[young]]
1986,[]
1986,[]
1986,[Arun]]
1986,[]
1986,[strong]]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[]
1986,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[underworld]]
1987,[powerful]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[dead]]
1987,[old]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[young]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[dead]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[rich]]
1987,[]
1987,[]
1987,[honest]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[rich]]
1987,[]
1987,[corrupt]]
1987,[]
1987,[]
1987,[]
1987,[devious]]
1987,[]
1987,[]
1987,[]
1987,[intent]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[local]]
1987,[]
1987,[late]]
1987,[]
1987,[real]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[young]]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[]
1987,[cruel]]
1987,[]
1987,[]
1987,[elder]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[careless]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[emotional]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
